,,,P,W,D,L,F,A,+/-,Pts,PI1,MPI1,PI2,MPI2
C,Bayern Munich,,34,21,8,5,92,38,54,71,114.6923077,2.059534291,423.9447368,2.627309248
2,Borussia Dortmund,,34,22,5,7,83,44,39,71,130.1666667,2.114499783,313.9675325,2.49688474
3,RB Leipzig,,34,20,6,8,64,41,23,66,94.28571429,1.974445896,239.1493902,2.378669278
4,1 FC Union Berlin,,34,18,8,8,51,38,13,62,69.75,1.843544212,203.3355263,2.308213264
5,SC Freiburg,,34,17,8,9,51,44,7,59,59,1.770852012,165.0808081,2.217696586
6,Bayer 04 Leverkusen,,34,14,8,12,57,49,8,50,35,1.544068044,110.2465986,2.042365199
7,Eintracht Frankfurt,,34,13,11,10,58,52,6,50,30.95238095,1.490694062,118.2692308,2.072871772
8,VfL Wolfsburg,,34,13,10,11,57,48,9,49,30.33333333,1.481920138,112.7556818,2.052138435
9,Mainz 05,,34,12,10,12,54,55,-1,46,25.09090909,1.399516397,89.2469697,1.950593479
10,Borussia Mönchengladbach,,34,11,10,13,52,55,-3,43,20.56521739,1.313133305,76.21223776,1.882024714
11,1 FC Köln,,34,10,12,12,49,54,-5,42,17.5,1.243038049,74.86111111,1.874256269
12,1899 Hoffenheim,,34,10,6,18,48,57,-9,36,15,1.176091259,48.31578947,1.68408908
13,Werder Bremen,,34,10,6,18,51,64,-13,36,15,1.176091259,46.6875,1.669200619
14,VfL Bochum,,34,10,5,19,40,72,-32,35,14.58333333,1.163856803,35.5628655,1.550996747
15,FC Augsburg,,34,9,7,18,42,63,-21,34,12.24,1.087781418,38.72222222,1.587960273
16,VfB Stuttgart,,34,7,12,15,45,57,-12,33,8.555555556,0.932248216,44.20263158,1.645448126
R,FC Schalke 04,,34,7,10,17,35,71,-36,31,8.037037037,0.90509597,29.41404308,1.468554724
R,Hertha Berlin,,34,7,8,19,42,69,-27,29,7.518518519,0.876132274,28.71796339,1.458153637
